ID,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,INSTI_STATE,INSTITUTE_DISTRICT,INST_TYPE,PROGRAMME,AFFILIATING_UNIVERSITY,LEVEL_OF_COURSE,COURSE,ACCREDITATION_STATUS,ACCREDITATION_TYPE,ACCREDITATION_TILL,APPROVED_INTAKE
482,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
483,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
484,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,120
485,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",POST GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2022,18
486,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,180
487,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,120
488,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2021,60
489,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,FASHION TECHNOLOGY,ACCREDITED,NBA,30-06-2021,60
490,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,MANAGEMENT,"Anna University, Chennai",POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2022,180
491,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,AERONAUTICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
492,1-9321460385,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & INSTRUMENTATION ENGINEERING,ACCREDITED,NBA,30-06-2022,60
493,1-9322129728,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
494,1-9322129728,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,180
495,1-9322129728,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
496,1-9322129728,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2021,180
497,1-9322129728,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
498,1-9322129728,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2021,180
499,1-9322438225,KLE DR M S SHESHGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY BELGAUM,Karnataka,BELGAUM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"KLE Technological University, Hubballi",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
500,1-9322438225,KLE DR M S SHESHGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY BELGAUM,Karnataka,BELGAUM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"KLE Technological University, Hubballi",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
501,1-9322438225,KLE DR M S SHESHGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY BELGAUM,Karnataka,BELGAUM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"KLE Technological University, Hubballi",UNDER GRADUATE,BIOMEDICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,30
502,1-9320212991,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,Andhra Pradesh,GUNTUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,180
503,1-9320212991,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,Andhra Pradesh,GUNTUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
504,1-9320212991,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,Andhra Pradesh,GUNTUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
505,1-9320212991,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,Andhra Pradesh,GUNTUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
506,1-9322495469,DVR DR HS MIC COLLEGE OF TECHNOLOGY,Andhra Pradesh,KRISHNA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,180
507,1-9322495469,DVR DR HS MIC COLLEGE OF TECHNOLOGY,Andhra Pradesh,KRISHNA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,180
508,1-9322495469,DVR DR HS MIC COLLEGE OF TECHNOLOGY,Andhra Pradesh,KRISHNA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
509,1-9320332430,GOVT POLYTECHNIC SUNDERNAGAR,Himachal Pradesh,MANDI,Government,ENGINEERING AND TECHNOLOGY,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",DIPLOMA,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,40
510,1-9320332430,GOVT POLYTECHNIC SUNDERNAGAR,Himachal Pradesh,MANDI,Government,ENGINEERING AND TECHNOLOGY,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
511,1-9320332430,GOVT POLYTECHNIC SUNDERNAGAR,Himachal Pradesh,MANDI,Government,ENGINEERING AND TECHNOLOGY,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",DIPLOMA,AUTOMOBILE ENGINEERING,ACCREDITED,NBA,30-06-2021,40
512,1-9320397293,INSTITUTE OF RURAL MANAGEMENT,Rajasthan,JAIPUR,Private-Self Financing,MANAGEMENT,None,POST GRADUATE DIPLOMA,PGDM,ACCREDITED,NBA,30-06-2022,120
513,1-9322381687,UNIVERSITY COLLEGE OF ENGINEERING BITCAMPUS TIRUCHIRAPPALLI,Tamil Nadu,TIRUCHIRAPPALLI,State Government University,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2021,60
514,1-9322381687,UNIVERSITY COLLEGE OF ENGINEERING BITCAMPUS TIRUCHIRAPPALLI,Tamil Nadu,TIRUCHIRAPPALLI,State Government University,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,PETROCHEMICAL TECHNOLOGY,ACCREDITED,NBA,30-06-2021,60
515,1-9322381687,UNIVERSITY COLLEGE OF ENGINEERING BITCAMPUS TIRUCHIRAPPALLI,Tamil Nadu,TIRUCHIRAPPALLI,State Government University,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,PHARMACEUTICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
516,1-9320461098,SHRI MATA VAISHNO DEVI UNIVERSITY,Jammu and Kashmir,REASI,Govt aided,MANAGEMENT,None,POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2021,120
517,1-9322251783,H R PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH,Maharashtra,DHULE,Private-Self Financing,PHARMACY,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2022,100
518,1-9320273651,KOMMURI PRATAP REDDY INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2022,180
519,1-9320273651,KOMMURI PRATAP REDDY INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,60
520,1-9320406765,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,YSR DISTRICT,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
521,1-9320406765,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,YSR DISTRICT,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
522,1-9320406765,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,YSR DISTRICT,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,120
523,1-9320406765,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,YSR DISTRICT,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,180
524,1-9322064245,MALLA REDDY COLLEGE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,31-10-2022,240
525,1-9322064245,MALLA REDDY COLLEGE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,31-10-2022,240
526,1-9322064245,MALLA REDDY COLLEGE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,31-10-2022,180
527,1-9322064245,MALLA REDDY COLLEGE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,31-10-2022,60
528,1-9322069001,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
529,1-9322069001,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
530,1-9322069001,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
531,1-9322069001,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,120
532,1-9322069001,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
533,1-9322069001,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
534,1-9322070515,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Kakatiya University, Warangal",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
535,1-9322070515,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Kakatiya University, Warangal",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2021,180
536,1-9322070515,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Kakatiya University, Warangal",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,120
537,1-9322070515,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Kakatiya University, Warangal",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,180
538,1-9322070515,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Kakatiya University, Warangal",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,120
539,1-9322070515,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Kakatiya University, Warangal",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
540,1-9320099795,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2021,120
541,1-9320099795,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
542,1-9320099795,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,240
543,1-9320099795,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,240
544,1-9320099795,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,30
545,1-9320099795,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,120
546,1-9320275236,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES- TECHNICAL CAMPUS,Delhi,NORTH DELHI,Private-Self Financing,MCA,"Guru Gobind Singh Indraprastha University, Delhi",POST GRADUATE,MASTER OF COMPUTER APPLICATIONS,ACCREDITED,NBA,30-06-2021,120
547,1-9320413679,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
548,1-9320413679,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,240
549,1-9320413679,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,240
550,1-9320413679,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,120
551,1-9320413679,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,ACCREDITED,NBA,30-06-2021,120
552,1-9320413679,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHATRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,120
553,1-9320413679,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2023,120
554,1-9320413679,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
555,1-9320413679,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,FOOD TECHNOLOGY,ACCREDITED,NBA,30-06-2023,60
556,1-9322075717,KESHAV MEMORIAL INSTITUTE OF TECHNOLOGY,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2024,120
557,1-9322148187,SYED AMMAL ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2024,60
558,1-9322148187,SYED AMMAL ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2024,60
559,1-9320229109,COLLEGE OF ENGINEERING AND TECHNOLOGY,Odisha,KHORDHA,Government,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
560,1-9320229109,COLLEGE OF ENGINEERING AND TECHNOLOGY,Odisha,KHORDHA,Government,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
561,1-9320229109,COLLEGE OF ENGINEERING AND TECHNOLOGY,Odisha,KHORDHA,Government,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
562,1-9320229109,COLLEGE OF ENGINEERING AND TECHNOLOGY,Odisha,KHORDHA,Government,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,ELECTRONICS & INSTRUMENTATION ENGINEERING,ACCREDITED,NBA,30-06-2022,120
563,1-9320476520,JABALPUR ENGINEERING COLLEGE JABALPUR,Madhya Pradesh,JABALPUR,Government,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,80
564,1-9320476520,JABALPUR ENGINEERING COLLEGE JABALPUR,Madhya Pradesh,JABALPUR,Government,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,80
565,1-9322152814,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2022,120
566,1-9322152814,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
567,1-9322152814,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,ELECTRONICS AND TELECOMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
568,1-9322152814,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
569,1-9322152814,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
570,1-9322332581,BHARATI VIDYAPEETH S INSTITUTE OF TECHNOLOGY POLY ,Maharashtra,SANGLI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
571,1-9322395546,MOHAMED SATHAK ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,45
572,1-9322395546,MOHAMED SATHAK ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
